"firmhash","firm","url","ranking","industry","sector","reputation_score","include","ranklabel"
37622842,"Spectrum Brands Holdings","https://www.spectrumbrands.com",629,"Household and Personal Products","Household Products","",True,"501-1000"
33578862,"Bloomin’ Brands","https://www.bloominbrands.com",628,"Food Services","Hotels, Restaurants & Leisure","",False,"501-1000"
9800251,"First Republic Bank","https://www.firstrepublic.com",627,"Commercial Banks","","",False,"501-1000"
58966584,"Vertex Pharmaceuticals","https://www.vrtx.com",626,"Biotechnology","Health Care","",True,"501-1000"
29040865,"Murphy Oil","https://www.murphyoilcorp.com",625,"Mining, Crude-Oil Production","Energy","",True,"501-1000"
69224958,"Monster Beverage","https://www.monsterbevcorp.com",624,"Beverages","Food, Beverages & Tobacco","",False,"501-1000"
71245137,"Ingles Markets","https://www.ingles-markets.com",623,"Food & Drug Stores","Food & Drug Stores","",False,"501-1000"
2678056,"Sinclair Broadcast Group","https://www.sbgi.net",622,"Entertainment","Media","",True,"501-1000"
47398118,"Gartner","https://www.gartner.com",621,"Information Technology Services","Technology","6.56",True,"501-1000"
65787919,"Nasdaq","https://www.nasdaq.com",620,"Securities","","",False,"501-1000"
58472244,"Iron Mountain","https://www.ironmountain.com",619,"Diversified Outsourcing Services","Business Services","",True,"501-1000"
12324959,"JELD-WEN Holding","https://www.jeld-wen.com",618,"Building Materials, Glass","Materials","",False,"501-1000"
20554737,"Keysight Technologies","https://www.keysight.com",617,"Scientific,Photographic and Control Equipment","Technology","",True,"501-1000"
88341419,"American Eagle Outfitters","https://www.aeo-inc.com",616,"Specialty Retailers: Apparel","Retailing","",True,"501-1000"
85064871,"Insperity","https://www.insperity.com",615,"Diversified Outsourcing Services","Business Services","",True,"501-1000"
6266396,"Colfax","https://www.colfaxcorp.com",614,"Industrial Machinery","Industrials","",True,"501-1000"
96572971,"Edwards Lifesciences","https://www.edwards.com",613,"Medical Products and Equipment","Health Care","",True,"501-1000"
57537353,"Marriott Vacations Worldwide","https://www.marriottvacationsworldwide.com",612,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","",False,"501-1000"
87724805,"Church & Dwight","https://www.churchdwight.com",611,"Household and Personal Products","Household Products","",True,"501-1000"
60310056,"Broadridge Financial Solutions","https://www.broadridge.com",610,"Financial Data Services","Business Services","6.61",True,"501-1000"
75999693,"Meritor","https://www.meritor.com",609,"Motor Vehicles & Parts","Motor Vehicles & Parts","",False,"501-1000"
93001898,"Antero Resources","https://www.anteroresources.com",608,"Mining, Crude-Oil Production","Energy","",True,"501-1000"
31889689,"Diebold Nixdorf","https://www.dieboldnixdorf.com",607,"Computers, Office Equipment","Technology","",True,"501-1000"
73770797,"UFP Industries","https://www.ufpi.com",606,"Building Materials, Glass","Materials","",False,"501-1000"
50479939,"EQT","https://www.eqt.com",605,"Energy","Energy","",True,"501-1000"
